"Incident: Incident Number","Subject","Incident Date/Time","City","Country","Description","NC4 Incident","Primary Type","Incident Status","Market","Philips Site or Building","Management Level"
"INC-1073","Health: Monkeypox","7/24/2022 5:58 AM","","Worldwide","The World Health Organization on Saturday declared the monkeypox outbreak, which has affected nearly 16,000 people in 72 countries, to be a global health emergency -- the highest alarm it can sound.

ADVERTISING
""I have decided that the global monkeypox outbreak represents a public health emergency of international concern,"" WHO chief Tedros Adhanom Ghebreyesus said at a press conference.

He said a committee of experts who met on Thursday was unable to reach a consensus, so it fell on him to decide whether to trigger the highest alert possible.

""WHO's assessment is that the risk of monkeypox is moderate globally and in all regions, except in the European region where we assess the risk as high,"" he added.

Monkeypox has affected over 15,800 people in 72 countries, according to a tally by the US Centers for Disease Control and Prevention (CDC) published on July 20.","Health: Monkeypox","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","","Group"
"INC-1007","Meteorological: Tornado Warning","5/25/2022 6:00 PM","Chicago IL","USA","Assets may be Impacted
Locations in Affected Counties:
Critical Cloud Data Center @ PNX USA - Chicago2 (Elk Grove Village, Cook County, IL)
 
Description for target area(s):
 
Illinois:
Cook
 
The National Weather Service in Chicago has issued a
 
* Tornado Warning for...
Northwestern Cook County in northeastern Illinois...
 
* Until 430 PM CDT.
 
* At 348 PM CDT, a severe thunderstorm capable of producing a tornado
was located over Addison, moving northeast at 40 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Ohare Airport, Elk Grove Village and Franklin Park around 355 PM
CDT.
Schiller Park and Rosemont around 400 PM CDT.
Arlington Heights, Des Plaines, Park Ridge and Rolling Meadows
around 405 PM CDT.
 
Other locations in the path of this tornadic thunderstorm include
Palatine, Mount Prospect, Glenview, Niles, Morton Grove, Prospect
Heights, Buffalo Grove, Wheeling, Northbrook, Winnetka, Northfield,
Deerfield and Glencoe.
 
This includes... Oakton Community College.
 
Including the following interstates...
I-90 between mile markers 67 and 78.
I-94 between mile markers 26 and 35.
I-290 between mile markers 1 and 4.
I-294 between mile markers 26 and 35.
 
OEMC zones...TORNADO WARNING. 1.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Bulletin Issued: 4:48 PM EDT on May 25
Event Ends: 5:30 PM EDT on May 25","Meteorological: Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1339","test","4/12/2023 6:42 AM","","","test","","Armed conflict","Monitoring","","","Country"
"INC-1341","Hurricane Sigrid","4/12/2023 10:43 AM","","Netherlands","In 4 days HS is expected to make landfall and have significant impact","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1013","Meteorological: Tornado","5/30/2022 6:43 PM","Western Minnesota","United States","Media sources are reporting multiple tornado touchdowns in western Minnesota. There were no initial reports of injuries. An unspecified number of mobile homes have been damaged near Starbuck. Heed warnings from local authorities.

Touchdowns have been reported in the following locations:

- Three miles west of Starbuck
- One mile south of Forada
- Unspecified location near Alexandria","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0819","Meteorological: Storm","11/29/2021 12:07 PM","Northwestern Turkey","Turkey","Multiple sources report that the passage of a storm is bringing heavy rainfall and strong winds across northwestern Turkey. The most impacted provinces include Bursa, Istanbul, Izmir, and Kocaeli. At least four people were killed, including two in the Esenyurt and Sultangazi districts of Istanbul and one following a collapsed wall in the province of Zonguldak. At least 19 people have been injured in storm-related incidents. The storm is expected to continue until late Tuesday.

In Bursa, the winds blew off roofs and knocked down trees and electricity poles. The tram across the city has been disrupted. A plane heading to Yenisehir had to return to Ankara due to the storm. A warning for rain and thunderstorms are expected in the province until early Tuesday morning local time, November 30. In Istanbul, floods and rain has been reported in the streets. Strong winds blew over a clock toward and two trucks in the Catalca district. Disruptions to flight operations have been reported at the airport. In Izmir, several roads were made impassable and multiple homes and businesses were inundated in Karsiyaka district. Trams have been canceled due to flooding along the tram line. All sea activities in Izmir were also temporarily suspended due to the weather conditions. Emergency personnel are continuing to clear the water in the area. In Kocaelli, strong winds tore off roofs of several houses, including a house under construction in the Korfez district. Ferry services have been canceled in Izmit. 

The Turkish State Meteorological Service (TSMS) has forecasted that torrential rain and thunderstorms are possible in the Marmara, Aegean, Western Mediterranean, western Black Sea regions, and the northwest of central Anatolia. Meteorologists have issued an orange-level storm warning for 17 provinces, the second highest of four danger levels, while a yellow alert has been issued for 35 provinces, the third highest danger level. Expect associated disruptions as the storm continues to bring strong winds and heavy rainfall in the area. Passengers are advised to contact their rail or air carrier for further details.","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","",""
"INC-0936","Meteorological: Storm","2/17/2022 7:17 AM","Nationwide","Poland","Media sources are reporting a wind storm that has swept across Poland. Due to strong winds, significant structural damage has been reported across the Lodzkie, Mazowieckie, Wielkopolskie, Zachodniopomorskie, Lubuskie, Slaskie, and Dolnoslaskie voivodeships. In the aforementioned regions, roofs of residential buildings have been ripped off by winds. Meanwhile, in Dobrzyca and So?nica, an estimated 50 buildings have been destroyed. In Lodz, 77 powerlines and 105 voltage stations have been damaged. Across the region, 3,200 damage reports have been filed, including 888 in Wielkopolskie; 633 in ?ódzkie; 515 in Mazowieckie; 323 in Zachodniopomorskie; and 100 in Lubuskie. Updated sources indicate that, in the Dolnoslaskie region, flooding was reported in Szczytna and Klodzko where rivers overflowed due to heavy rainfall.

In addition to structural damage, hundreds of thousands of customers across the country are also facing power disruptions. Widespread traffic disruptions have also been indicated. Traffic flow on A1 towards Gda?sk is currently limited between Piotrków Trybunalski West and Tuszyn junctions. Likewise, traffic on the S8 expressway towards Warsaw, between the Polichno and Wolbórz junctions has been disrupted by an overturned vehicle. There have been no immediate reports of injuries or evacuations. Further disruptions are possible.","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1350","Cyberattacks on Israel","4/14/2023 7:41 AM","Nationwide","Israel","Media sources are reporting that a cyberattack has targeted the websites of Israel Post and several bank branches across Israel, including Bank Leumi, Discount Bank, Mizrahi-Tefahot, and Bank Mercantile. The exact extent of the attack is unclear at this time, however, websites of several institutions are reportedly unreachable. Sources indicate that a hacker group called 'Anonymous Sudan' has claimed responsibility for the cyber attack. Expect associated disruptions.","Infrastructure: Network Outage","Information Technology (Internal Applications, Network, Telecommunications)","Closed","","","Regional"
"INC-0721","Testing - Alert created for Testing purpose","9/15/2021 2:00 PM","","","Testing","Testing - Alert created for Testing purpose","Other","Closed","","","Site"
"INC-0741","Geophysical: Earthquake","10/7/2021 10:59 AM","Sakura","Japan","Multiple sources are reporting that a magnitude 6.1 earthquake struck approximately 12 miles (19 km) southeast of Sakura, Japan. Japanese geophysical sources report that the earthquake had a magnitude of 6.1, while the United States Geological Survey initially measured the earthquake with a magnitude of 5.9. The earthquake was felt in the greater Tokyo area. There is no threat of a tsunami.

Updates report that at a total of 17 people have been injured. Of the total, four people have been injured across the Chiba prefecture, with one person injured in Tomisato City, one in Mobara City, and two people in Kashiwa City. In addition, seven other people have been injured across the Kanagawa prefecture, with four people injured in Kawasaki City, and one person in Yokohama City, Zama City, and Yamato City respectively. No significant structural damage was immediately indicated. 

Haneda International Airport (HND) has reopened after closing at least one runway to evaluate earthquake-related damage, and no damage was reported at Narita International Airport (NRT). All 250 homes have had power restored. 

There were reports water pipe ruptures in approximately 23 wards throughout Tokyo, and water spouting from manholes. Operations on major train and subway lines were halted immediately following the earthquake, but most have resumed services following damage evaluation. No major damage has been reported to any railway equipment at this time. There are no reports of telecom outages in the country or abnormalities at Tokai No.2 Nuclear Power Station in Tokai Village, Ibaraki prefecture.

Multiple roadway closures continue to be reported in the Tokyo metropolitan area as the roads are evaluated for damage. Closure are reported between Atsugi Interchange and Isehara Junction on the Tomei Expressway, down line between Tamagawa Interchange and Hodogaya Interchange on Daisan Keihin Road, and between Hodogaya Interchange and Shinhodogaya Interchange on Yokohama Shindo. Further, the Metropolitan Expressway is closed to traffic in a wide range, including the entire city center loop line.","Geophysical: Earthquake","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","",""
"INC-0744","Geophysical: Earthquake","10/9/2021 8:11 AM","Nadi","Fiji","The U.S. Geological Survey is reporting a magnitude 7.0 earthquake located 295 miles southwest of Nadi, Fiji. There have been no initial reports of associated injuries or damage.","Geophysical: Earthquake","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0745","Tropical Cyclone for PAMELA-21","10/11/2021 7:15 AM","","Mexico","Pamela is forecast to be at or near major hurricane intensity when it reaches the coast of west-central mainland Mexico by late Wednesday, and could bring life-threatening storm suge, flash flooding, and dangerous winds to a portion of that area. Residents in this area should monitor the progress of this system and ensure they have their hurricane plan in place.","Meteorological : Orange alert Tropical Cyclone for PAMELA-21","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0553","Infrastructure: Telecom Outage","4/27/2021 9:50 AM","Worldwide","United States","Sources report that Microsoft is experiencing a telecom outage affecting Microsoft Teams users. The issue began to affect users in Europe and Asia and is now affecting user across the globe. Users are experiencing technical issues resulting in a 'Operation failed with unexpected error.' screen. The cause of the disruption has been identified by developers and mitigation efforts are underway. Sources suggest service is currently being restored but some users may still experience issues. An estimated time for the full restoration of service was not immediately made available.","Infrastructure: Telecom Outage","Information Technology (Internal Applications, Network, Telecommunications)","Closed","","","Group"
"INC-0758","Meteorological: Storm","10/15/2021 1:00 PM","","Brazil","The National Institute of Meteorology (Inmet) issued an orange storm alert for cities in the Triangle and Alto Paranaíba. The notice went into effect at 10:01 am this Thursday (14) and is scheduled to end at 11 am on Friday (15). See below the situation in some cities, the risks and guidelines. The alert issued by Inmet predicts rainfall between 30 and 60 millimeters in a single hour, or 100 millimeters in a day . Wind gusts above 60 km/h and hail are expected. At g1 , Inmet explained that these alerts are issued when there are unstable conditions in the atmosphere , which favor the formation of clouds with conditions to emit a large amount of rain. The Institute stressed that this does not mean that storms will occur throughout the region and that they can happen in isolated places. As climatologist Wanda Prata, the first municipality to receive heavy rain should be Frutal , but the condition should extend to other cities in the Triangle and Alto Paranaíba during the weekend.","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0577","Test","6/29/2021 8:55 AM","","","ete","","Active shooter","Monitoring","","","Regional"
"INC-0580","Taal Volcano ? Thousands evacuated as eruptions continue; Alert Level 3 remains.","7/1/2021 4:00 PM","","Philippines","Multiple sources are reporting continued volcanic activity in Taal Volcano. Updates on Thursday, July 1 indicate that the Institute of Volcanology and Seismology (PHIVOLCS) has raised the Alert Level to Level 3. This indicates magmatic intrusion on the main crater which may lead to further eruptions. The level was raised after minor phreatomagmatic activity with a plume rising 3,280 feet (one kilometer, 0.6 miles) above the main crater. 

Thousands of residents of Taal Volcano Island and high-risk barangays of Agoncillo and Laurel, Batangas are under evacuation due to high risk of pyroclastic currents and volcanic tsunamis in the area. PHIVOLCS has recommended that no one enter the island, with entry into the Daang Kastila fissure and Taal lake completely restricted. Approximately 717,000 people live within 5 kilometers (3.1 miles) of the summit. There have been no initial reports regarding associated injuries or disruptions. 

In the past 24 hours, at least 10 volcanic earthquakes were recorded. The volcano has emitted high levels of sulfur dioxide (SO2) for the past day with levels reaching over 6,685 tonnes of sulphur dioxide (SO2) per day on Wednesday, June 30. Gas-steam plumes were recorded rising at least 6,561 feet (2 kilometers, 1.2 miles) above the crater lake. Volcanic fog has reportedly affected Taal Calder. Aviation authorities have advised all pilots to avoid flying within proximity of the island due to the risk of a collision with ballistic ejecta and suspended airborne ash. 

Previous reports indicated that villages Banyaga, Bilibinwang, and Subic Ilaya west of the summit experienced vegetation die off and breathing difficulties as a result of acid rain. Acid rain is corrosive and damages all vegetation, taking place when sulfur dioxide (SO2) reacts with water droplets in the atmosphere.","Taal Volcano ? Thousands evacuated as eruptions continue; Alert Level 3 remains.","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0579","Hurricane ELSA","7/1/2021 7:48 AM","","","Potential impact from T/S ELSA on monday July 5th, 2021","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0088","","2/6/2018 5:29 AM","","","","","","","","",""
"INC-0119","","8/31/2018 8:24 AM","","","","","","","","",""
"INC-1109","Geophysical - Tropical Cyclone","8/23/2022 6:02 AM","China, Viet Nam","China, Viet Nam","The alert level for the forecasted track (next 72h) is Red.
The overall alert level is Red for China, Viet Nam
This tropical cyclone can have a high humanitarian impact based on the storm strength and the affected population in the past and forecasted path.
Please see methodology for more explanations on thresholds.
In particular China, Viet Nam are affected by high winds up to 139 km/h (39 m/s or 86mph).","Geophysical - Tropical Cyclone","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0658","Tropical Storm FRED","8/11/2021 10:48 AM","","United States","Potential storm impact to Puerto Rico, Florida and states in the Gulf of Mexiico","Tropical Storm FRED","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0700","Infrastructure: Fuel Disruption Loading","9/1/2021 5:25 PM","","United States","Tropical Cyclone IDA-21 can have a high humanitarian impact based on the maximum sustained wind speed, exposed population and vulnerability.

Ida officially became a tropical storm when its surface winds exceeded 39 miles per hour and is expected to become a hurricane as it moves northwestward over the Gulf of Mexico. Ida is also on a path toward Louisiana.

There is an incresaing risk of life-threatening storm surge inundation along the coasts of Louisiana, Missisipi, and alabama, where a Storm Surge Watch is in effect. Interests in these areas should follow any advice given by local officials.","Infrastructure: Fuel Disruption","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0323","Cyclone","4/2/2020 2:46 PM","","","Cyclone","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0324","Cyclone","4/2/2020 2:49 PM","","","Cyclone","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0325","Cyclone","4/2/2020 2:53 PM","","","Cyclone","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0369","COVID19 take 2","7/13/2020 11:23 AM","Porto Salvo","Portugal","increase number of new cases around the headquarters facility","","Health (Epidemic, Pandemic, Medical, Public health)","Monitoring","","","Country"
"INC-0132","Big fire at DPD Pakketservice NL","9/25/2018 4:00 AM","Best","Netherlands","Distance from the building to the main gate is 110 meters. The building is 120 x 90 meters   
Large fire, many clouds of smoke that rise right up, called many emergency services.
After 10 min. Tormentil is closed (road to car park Philips)
After 20 min. Code very large fire GRIP 2, the ring road is closed, no access to the main gate
After 30 min. By lighting up an East wind, black smoke clouds now draw over the Philips Healthcare site. From the CoPI the message to close windows and doors. The air alarm goes off - it is scaled up to GRIP 3
After 40 min. The measurements show that the flue gases contain toxins by burning chemicals stored in the building. The truck entrance is now also being closed. The emergency services are responsible for the freight traffic and they are no longer allowed to use the site. People in the field, including Security, are told to stay inside. 
The site is completely closed, nobody can stay on the property until the fire brigade has released it. This can take hours. This also means that evacuating is currently too dangerous in connection with this. risk to public health.","","Continuity (crisis)","","","","Site"
"INC-0713","TROPICAL STORM NICHOLAS","9/12/2021 2:00 PM","","Mexico","Tropical storm conditions are expected along portions of the northeastern coast of Mexico and the Coast of the South Texas beginning monday morning.","TROPICAL STORM NICHOLAS","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0734","Meteorological: Tropical Cyclone","9/22/2021 2:00 PM","","Japan","Tropical Cyclone MINDULLE-21 can have a low humanitarian impact based on the maximum sustained wind speed, exposed population and vulnerability.

GDACS ID	TC 1000831
Name	MINDULLE-21
From - To	22 Sep - 27 Sep
Exposed countries	Guam, Japan, Russian Federation
Exposed population	No people in Category 1 or higher
Maximum wind speed	269 km/h Category 5
Maximum storm surge	0.2 m (01 Oct 12:00 UTC)
Vulnerability	Medium (Guam)","Meteorological: Tropical Cyclone","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0742","Tropical Cyclone - LIONROCK-21","10/7/2021 6:15 PM","","Vietnam","Tropical Cyclone TWENTYTWO-21 can have a medium humanitarian impact based on the maximum sustained wind speed, exposed population and vulnerability.","Meteorological: Tropical Cyclone LIONROCK-21","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0746","Tropical Cyclone KOMPASU-21","10/9/2021 2:00 PM","Multiple locations","Philippines","RED alert: Tropical Cyclone  in Viet Nam : 4 million people in Cat1(120km/h) , 259.5 million in tropical depression.
ALERT LEVEL 
The alert level for the forecasted track (next 72h) is Red.
The overall alert level is Red for China, Viet Nam
This tropical cyclone can have a high humanitarian impact based on the storm strength and the affected population in the past and forecasted path.
Please see methodology for more explanations on thresholds.
In particular China, Viet Nam are affected by high winds up to 130 km/h (36 m/s or 81mph).
CURRENT STORM STATUS 
Analysis based on advisory number 1 for KOMPASU-21, published on 10 Oct 2021 06:00
?	The storm is: active
?	Current country: China, Viet Nam
?	Current position: Lat:17.5 Lon:127.9
?	Alert level at current position: Red
?	Basin: NWPacific
?	Current strength: Tropical Storm
?	Maximum sustained winds: 65 km/h (current), 130 km/h (next 5 days)","Meteorological: Tropical Cyclone KOMPASU-21","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0708","27 miles SW of Apalachicola?Mindy continues to move toward the Florida Panhandle; landfall imminent.","9/8/2021 10:07 PM","","United States","Tropical Storm Mindy is currently centered in the Gulf of Mexico approximately 27 miles southwest of Apalachicola, Florida. Mindy is traveling northeast at 21 miles per hour with maximum sustained winds of 45 miles per hour. The National Hurricane Center (NHC) projects that little change in strength is expected before Mindy makes landfall along the Florida Panhandle sometime tonight, Wednesday, September 8, between Mexico Beach and Alligator Point, Florida. Tropical-storm-force winds extend outward up to 35 miles from the center.

Mindy is expected to produce rainfall of two to four inches with maximum amounts of six inches across the Florida Panhandle into southern portions of Georgia and South Carolina through tomorrow morning, Thursday, September 9. This rainfall may produce flash, urban, and small stream flooding. Isolated tornadoes are possible over portions of the Florida Panhandle this evening and into tomorrow morning.

A Tropical Storm Warning has been issued for the Florida Panhandle from Mexico Beach to the Steinhatchee River, Florida. A Tropical Storm Warning means that tropical storm conditions are expected somewhere within the warning area, in this case in the next six to 12 hours.","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0393","Labour strike at Vendor Plant (Mahindra CIE @ Mangaon Plant)","9/14/2020 3:11 AM","Chakan - Pune","India","Mahindra CIE mangaon plant is facing labour issues resulting is obstruction of material flow.","","Third Party (Supply Chain, Vendors, Partners, etc.)","Closed","","","Site"
"INC-0241","test","11/1/2019 6:05 AM","","Hungary","test","","Armed conflict","Active Crisis","","",""
"INC-0456","Cyclone NIVAR","11/25/2020 9:11 AM","","India","Cyclonic Storm ?NIVAR is formed, costal parts of TamilNadu including Chennai is experiencing heavy to very heavy rains","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Country"
"INC-0500","Security: Protest","1/22/2021 6:46 PM","Multiple Locations","Netherlands","Anti-lockdown protests with clashes and looting continued on Monday night, January 25 in parts of multiple cities in the Netherlands. Updated sources report an unspecified number of injuries including at least ten police officers and three journalists, as well as at least 180 arrests including at least 60 in Rotterdam, 12 in Geleen, nine in Amsterdam, eight in Almelo, and several in Den Bosch; figures are expected to rise as more information becomes available. Officials were also seeking out and detaining those believed responsible for inciting the violence, including at least four people in Goes and two others in Kattendjike. In Rotterdam, the police fired warning shots to deter looters outside an electronics store and used tear gas and a water cannon during clashes in the Beijerlandselaan and Groene Hilledijk area against up to 300 protesters and 80 looters, who used heavy fireworks against a police station on nearby Sandelingplein. Elsewhere, the police responded to localized outbreaks of groups numbering up to 150 people seeking police confrontations, throwing debris and fireworks, looting businesses, vandalizing property, and setting fires. Affected areas included Molukkenstraat and Javastraat in Amsterdam, Markt and Heistraat in Helmond, Hobbemastraat in The Hague, Belgielaan in Schalkwijk, Keizer Karelplein in Nijmegen, and Hinthamerstraat in Den Bosch as well as in Alphen, Amersfoot, Best, Den Bosch, Enschede, Geleen, Vlissingen, Zwolle, and elsewhere. Protests in some areas dispersed before the curfew, and officials reported calm has been restored to many areas. Still, heightened security presences and associated disruption are likely to persist overnight in public spaces and major thoroughfares in city centers, and additional clashes between protesters and the police cannot be ruled out. 

On Saturday, January 23, authorities introduced a mandatory nightly curfew from 9:00 PM to 4:30 AM local time. That night, demonstrators set fire to a COVID-19 testing facility in Urk in protest against COVID-19 restrictions. On Sunday, January 24, hundreds of people demonstrated in at least 12 cities in the Netherlands. At least 245 people were arrested countrywide. In Amsterdam, the police used water cannons, batons, and mounted units to disperse approximately 1,500 people, some lighting fireworks, in the Museumplein area; at least 190 people were arrested in the capital. In Eindhoven, large-scale looting and vandalism broke out as the police used water cannons and tear gas to push protesters from 18 Septemberplein toward Eindhoven Central train station; at least 55 people were arrested, and the station was temporarily evacuated. Far-right groups including Patriotic Europeans Against the Islamisation of the Occident (PEGIDA) and Netherlands in Resistance initially called for and then ostensibly canceled official demonstrations in these areas, but many supporters still turned out. Additional unrest involving dozens of people occurred on Sunday evening in The Hague, Venlo, Enschede, Tilburg, Stein, Arnhem, Apeldoorn, Oosterhout, Roermond, and Breda. There were widespread reports of localized looting, vandalism, and a number of vehicles set alight, in some cases causing temporary disruption to public transit services. At least one officer was injured. In response to the disturbances, officials in some cities have issued emergency orders strengthening police enforcement powers and sealing road access to city centers. Expect follow-up protest activity with associated potential for clashes and associated disruption in the coming days.","Security: Protest","Safety (Terrorism, War, Civil-unrest)","Closed","","","Regional"
"INC-0532","Geophysical: Volcano","3/19/2021 7:40 PM","Reykjavik","Iceland","Multiple sources reported an eruption occurred at the Fagradalsfjall volcano near Reykjavik. The volcano is roughly 20 miles (roughly 32 kilometers) southwest of the capital. There have been no reports of injuries or major structural damage; however, air traffic at Keflavik International Airport (KEF) was grounded following the initial eruption, although the airport has since resumed operations. Updates indicate that the volcano is not expected to affect air travel in the area.

Early in the morning, local time, on Saturday, March 20, the Icelandic Meteorological Office noted that volcanic activity has decreased. Furthermore, the Department of Emergency Management is not expecting any associated evacuations as the volcano is in a remote valley. Nevertheless, residents are advised to avoid the immediate area. There have been no reports of injuries. The Fagradals Mountain was dormant for 6,000 years, and the Reykjanes Peninsula hadn't seen an eruption of any volcano for 781 years. Friday's eruption follows tens of thousands of earthquakes that have struck the region in recent weeks.  This event is closed.","Geophysical: Volcano","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Country"
"INC-0569","Earthquake","5/25/2021 11:47 AM","","","No Data","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Country"
"INC-0623","Supplier impacts","7/22/2021 8:22 AM","","","SUpplier potentially impacted by flooding from teh Typhoon","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0626","Infrastructure: Network Outage","7/22/2021 1:38 PM","Worldwide","United States","Sources are reporting that Akamai Technologies has implmeneted a fix for a widespread Akamai Edge DNS service issue. It is unclear whether service has been restored to all affected sites. Akamai Technologies has indicated that the service issue is not believed to have been caused by a cyber attack. 

Affected sites included the following: 

Airbnb
American Express
Bed, Bath & Beyond
British Airways
Chase
Costco
Delta Airlines
Discover
Disney
Dollar Tree
FedEx
Fidelity
Home Depot
Kroger
LastPass
Marshall's
PNC
PlayStation Network
Southwest Airlines
Steam
TikTok
UPS
Walt Disney World","Infrastructure: Network Outage","Information Technology (Internal Applications, Network, Telecommunications)","Closed","","","Group"
"INC-0507","Fire: High-Rise Fire","2/19/2021 1:26 PM","Mount Prospect","United States","Unconfirmed sources are reporting a fire in a high-rise building near E Prospect Ave and S School St. No injuries were immediately reported. No further details are available at the present time. Expect associated disruptions in the vicinity.","Fire: High-Rise Fire","Other","Closed","","","Site"
"INC-0508","Other: State of Emergency","2/16/2021 9:00 PM","Texas","United States","Multiple sources are reporting that the US Department of Health and Human Services has declared a public health emergency in the state of Texas due to the recent inclement weather. The declaration allows for greater federal flexibility in responding to ongoing health crises in the state. Over 300,000 people remain without power throughout Texas and nearly 13 million people are under a boil water advisory.","Other: State of Emergency","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1352","Meteorological: Tornado","4/15/2023 8:40 PM","St. Louis","United States","Assets may be Impacted
Locations in Affected Counties:
St. Louis - B2 (Maryland Heights, Saint Louis County, MO)

* This dangerous storm will be near...
Kirkwood, Manchester, Crestwood, Town and Country, Sunset Hills,
Des Peres, Valley Park, Glendale, Fenton, and Frontenac around 625
PM CDT.
Webster Groves, Ladue, Warson Woods, Affton, Rock Hill,
Marlborough, Grantwood Village, Crystal Lake Park, Huntleigh, and
Concord around 630 PM CDT.
Brentwood, Maplewood, Shrewsbury, Lakeshire, and Green Park around
635 PM CDT.

Bulletin Issued: 7:19 PM EDT on April 15
Event Ends: 8:00 PM EDT on April 15","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0523","Infrastructure: Telecom Outage","3/15/2021 6:33 PM","Worldwide","United States","Multiple Microsoft 365 services are now restored worldwide after disruptions caused by a recent change to an authentication system. Impacted services included Microsoft Teams and Azure Active Directory. Microsoft has largely identified and addressed the issue, with no significant ongoing outages. Expect possible residual disruptions. This event is closed.","Infrastructure: Telecom Outage","Information Technology (Internal Applications, Network, Telecommunications)","Closed","","","Group"
"INC-0527","Security: Explosion","3/18/2021 12:41 AM","Kabul","Afghanistan","Media sources are reporting an explosive device detonated and struck a bus carrying government employees in an unspecified location in the Kotal-e Khair Khanah area in the 17th security district of Kabul. At least four people have been killed, and 14 others have been injured. Expect associated disruptions as police respond. No group has yet claimed responsibility for the attack.","Security: Explosion","Armed conflict","Closed","","","Site"
"INC-0529","Fire: Industrial Fire - RENESAS Supplier","3/19/2021 7:37 PM","Hitachinaka","Japan","Media reports indicate that firefighters contained a fire at the Renesas Semiconductor factory at 730 Horiguchi on Friday, March 19. The fire reportedly damaged the semiconductor wafer production line, raising concerns regarding possible disruptions to production at the factory. No injuries were reported. Event closed.","Fire: Industrial Fire","Fire (Fire suppression, explosion)","Closed","","","Site"
"INC-0592","Test","7/9/2021 8:32 AM","","","Test","","Extortion","Monitoring","","","Group"
"INC-0594","Flooding","7/15/2021 6:45 AM","","","Valkenburg - Reports of flooding due to Geul river overflowing; one nursing home is being evacuated. Germany, Belgium impact as well","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-0604","Typhoon GRC Mainland","7/20/2021 9:27 AM","","","NC4 alert","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0620","Select suppliers","7/22/2021 4:08 AM","","","Select suppliers","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-0639","Aviation: Airport Closure","7/29/2021 11:57 AM","Nanjing","China","Media sources report that Nanjing Lukou International Airport (NKG) has suspended all flights due to a resurgence of the COVID-19 Delta variant. Operations are expected to be suspended until August 11. Passengers are advised to contact their air carrier for flight-specific information.","Aviation: Airport Closure","Transportation Infrastructure (Road, Waterways, Rail, Air)","Closed","","","Regional"
